T:0.5885416666666666,|0.34375,V:0.53125,|0.3854166666666667,
T:0.6614583333333334,|0.2916666666666667,V:0.4375,|0.5,
T:0.5625,|0.375,V:0.5104166666666666,|0.453125,
T:0.6197916666666666,|0.3489583333333333,V:0.4635416666666667,|0.484375,
T:0.5572916666666666,|0.359375,V:0.5833333333333334,|0.3489583333333333,
T:0.5885416666666666,|0.3697916666666667,V:0.515625,|0.4270833333333333,
T:0.625,|0.3229166666666667,V:0.5,|0.4270833333333333,
T:0.5364583333333334,|0.421875,V:0.5208333333333334,|0.421875,
T:0.609375,|0.3489583333333333,V:0.5364583333333334,|0.4322916666666667,
T:0.5989583333333334,|0.359375,V:0.4791666666666667,|0.4635416666666667,
T:0.5885416666666666,|0.359375,V:0.5052083333333334,|0.4375,
T:0.6197916666666666,|0.3229166666666667,V:0.5260416666666666,|0.4427083333333333,
T:0.6197916666666666,|0.3177083333333333,V:0.4895833333333333,|0.4583333333333333,
T:0.5625,|0.3854166666666667,V:0.5104166666666666,|0.4427083333333333,
T:0.640625,|0.3177083333333333,V:0.5208333333333334,|0.3802083333333333,
T:0.6354166666666666,|0.3072916666666667,V:0.4635416666666667,|0.4791666666666667,
T:0.609375,|0.359375,V:0.5104166666666666,|0.4270833333333333,
T:0.578125,|0.3697916666666667,V:0.4322916666666667,|0.5052083333333334,
T:0.578125,|0.3645833333333333,V:0.5208333333333334,|0.3958333333333333,
T:0.6302083333333334,|0.3125,V:0.46875,|0.4895833333333333,
T:0.6145833333333334,|0.3177083333333333,V:0.5625,|0.375,
T:0.5729166666666666,|0.359375,V:0.4791666666666667,|0.4583333333333333,
T:0.578125,|0.3489583333333333,V:0.5,|0.4375,
T:0.625,|0.328125,V:0.5364583333333334,|0.421875,
T:0.6145833333333334,|0.3385416666666667,V:0.5885416666666666,|0.375,
T:0.59375,|0.3489583333333333,V:0.5364583333333334,|0.4375,
T:0.5677083333333334,|0.3645833333333333,V:0.515625,|0.4114583333333333,
T:0.59375,|0.375,V:0.5052083333333334,|0.4322916666666667,
T:0.5625,|0.3958333333333333,V:0.4895833333333333,|0.4479166666666667,
T:0.5572916666666666,|0.3854166666666667,V:0.484375,|0.4375,
T:0.5572916666666666,|0.3854166666666667,V:0.5208333333333334,|0.4114583333333333,
T:0.5729166666666666,|0.3958333333333333,V:0.5,|0.4375,
T:0.5885416666666666,|0.34375,V:0.5104166666666666,|0.453125,
T:0.515625,|0.390625,V:0.578125,|0.3958333333333333,
T:0.609375,|0.3229166666666667,V:0.4947916666666667,|0.453125,
T:0.59375,|0.3333333333333333,V:0.4583333333333333,|0.4739583333333333,
T:0.5520833333333334,|0.3802083333333333,V:0.4479166666666667,|0.4895833333333333,
T:0.5729166666666666,|0.375,V:0.421875,|0.4791666666666667,
T:0.5052083333333334,|0.421875,V:0.4427083333333333,|0.4791666666666667,
T:0.625,|0.3385416666666667,V:0.546875,|0.3854166666666667,
T:0.5729166666666666,|0.375,V:0.5260416666666666,|0.3802083333333333,
T:0.5833333333333334,|0.34375,V:0.609375,|0.3385416666666667,
T:0.5677083333333334,|0.375,V:0.4635416666666667,|0.4895833333333333,
T:0.53125,|0.3802083333333333,V:0.4739583333333333,|0.4791666666666667,
T:0.5625,|0.375,V:0.5416666666666666,|0.3854166666666667,
T:0.4947916666666667,|0.4375,V:0.4791666666666667,|0.4479166666666667,
T:0.5416666666666666,|0.3958333333333333,V:0.5677083333333334,|0.375,
T:0.5833333333333334,|0.3385416666666667,V:0.5,|0.4427083333333333,
T:0.53125,|0.421875,V:0.4947916666666667,|0.4270833333333333,
T:0.5729166666666666,|0.3541666666666667,V:0.5416666666666666,|0.390625,
T:0.6302083333333334,|0.3333333333333333,V:0.5625,|0.375,
T:0.6041666666666666,|0.3229166666666667,V:0.4791666666666667,|0.4739583333333333,
T:0.5833333333333334,|0.3645833333333333,V:0.4947916666666667,|0.4635416666666667,
T:0.5989583333333334,|0.328125,V:0.5364583333333334,|0.4375,
T:0.671875,|0.3020833333333333,V:0.484375,|0.4479166666666667,
T:0.53125,|0.4010416666666667,V:0.5052083333333334,|0.4583333333333333,
T:0.5885416666666666,|0.359375,V:0.5260416666666666,|0.4427083333333333,
T:0.53125,|0.390625,V:0.5364583333333334,|0.40625,
T:0.5885416666666666,|0.359375,V:0.5,|0.4427083333333333,
T:0.6197916666666666,|0.3541666666666667,V:0.5572916666666666,|0.4166666666666667,
T:0.578125,|0.3854166666666667,V:0.5416666666666666,|0.4114583333333333,
T:0.578125,|0.3697916666666667,V:0.546875,|0.3958333333333333,
T:0.5729166666666666,|0.3541666666666667,V:0.5052083333333334,|0.4479166666666667,
T:0.671875,|0.296875,V:0.5052083333333334,|0.4583333333333333,
T:0.640625,|0.3125,V:0.46875,|0.453125,
T:0.5416666666666666,|0.4270833333333333,V:0.515625,|0.4375,
T:0.5729166666666666,|0.3854166666666667,V:0.5,|0.4270833333333333,
T:0.59375,|0.3541666666666667,V:0.546875,|0.3802083333333333,
T:0.5625,|0.3645833333333333,V:0.484375,|0.4583333333333333,
T:0.5052083333333334,|0.4479166666666667,V:0.5416666666666666,|0.40625,
T:0.59375,|0.3333333333333333,V:0.5833333333333334,|0.3802083333333333,
T:0.53125,|0.4010416666666667,V:0.5052083333333334,|0.4427083333333333,
T:0.5520833333333334,|0.4010416666666667,V:0.46875,|0.4739583333333333,
T:0.5416666666666666,|0.3697916666666667,V:0.4895833333333333,|0.453125,
T:0.5833333333333334,|0.3697916666666667,V:0.5052083333333334,|0.4322916666666667,
T:0.546875,|0.3645833333333333,V:0.5260416666666666,|0.4114583333333333,
T:0.5260416666666666,|0.4010416666666667,V:0.5729166666666666,|0.390625,
T:0.625,|0.3333333333333333,V:0.5416666666666666,|0.40625,
T:0.5416666666666666,|0.3854166666666667,V:0.515625,|0.4114583333333333,
T:0.6302083333333334,|0.296875,V:0.4739583333333333,|0.4635416666666667,
T:0.5104166666666666,|0.4010416666666667,V:0.5729166666666666,|0.3697916666666667,
T:0.515625,|0.4010416666666667,V:0.5052083333333334,|0.4583333333333333,
T:0.5520833333333334,|0.4010416666666667,V:0.5572916666666666,|0.3854166666666667,
T:0.5625,|0.3854166666666667,V:0.4791666666666667,|0.4635416666666667,
T:0.6041666666666666,|0.3541666666666667,V:0.5520833333333334,|0.3802083333333333,
T:0.5885416666666666,|0.3385416666666667,V:0.5052083333333334,|0.4114583333333333,
T:0.5729166666666666,|0.359375,V:0.5104166666666666,|0.421875,
T:0.5520833333333334,|0.3697916666666667,V:0.5208333333333334,|0.4114583333333333,
T:0.5208333333333334,|0.4270833333333333,V:0.5520833333333334,|0.375,
T:0.5989583333333334,|0.3385416666666667,V:0.5729166666666666,|0.3489583333333333,
T:0.5989583333333334,|0.3489583333333333,V:0.5416666666666666,|0.4010416666666667,
T:0.5625,|0.3854166666666667,V:0.5104166666666666,|0.4166666666666667,
T:0.609375,|0.3489583333333333,V:0.4635416666666667,|0.4479166666666667,
T:0.625,|0.328125,V:0.5625,|0.3697916666666667,
T:0.5677083333333334,|0.3645833333333333,V:0.5208333333333334,|0.4114583333333333,
T:0.5729166666666666,|0.3802083333333333,V:0.484375,|0.4739583333333333,
T:0.5416666666666666,|0.3854166666666667,V:0.578125,|0.3802083333333333,
T:0.609375,|0.3489583333333333,V:0.578125,|0.3541666666666667,
T:0.546875,|0.375,V:0.5520833333333334,|0.40625,
T:0.546875,|0.3958333333333333,V:0.53125,|0.3958333333333333,
T:0.5364583333333334,|0.3958333333333333,V:0.4739583333333333,|0.4739583333333333,
T:0.5885416666666666,|0.3229166666666667,V:0.5260416666666666,|0.4427083333333333,
T:0.578125,|0.3541666666666667,V:0.4947916666666667,|0.4583333333333333,
T:0.6458333333333334,|0.3020833333333333,V:0.5364583333333334,|0.3645833333333333,
T:0.5677083333333334,|0.3697916666666667,V:0.5572916666666666,|0.375,
T:0.609375,|0.3333333333333333,V:0.5104166666666666,|0.421875,
T:0.5572916666666666,|0.3645833333333333,V:0.59375,|0.34375,
T:0.5572916666666666,|0.3854166666666667,V:0.5,|0.46875,
T:0.5520833333333334,|0.4166666666666667,V:0.5,|0.4375,
T:0.6302083333333334,|0.328125,V:0.546875,|0.3854166666666667,
T:0.5729166666666666,|0.3802083333333333,V:0.5416666666666666,|0.4114583333333333,
T:0.609375,|0.3645833333333333,V:0.5364583333333334,|0.4166666666666667,
T:0.6197916666666666,|0.328125,V:0.5364583333333334,|0.3958333333333333,
T:0.609375,|0.3489583333333333,V:0.5364583333333334,|0.4010416666666667,
T:0.6145833333333334,|0.3177083333333333,V:0.5208333333333334,|0.4375,
T:0.609375,|0.3697916666666667,V:0.5052083333333334,|0.4635416666666667,
T:0.5520833333333334,|0.359375,V:0.515625,|0.421875,
T:0.609375,|0.3489583333333333,V:0.5260416666666666,|0.4427083333333333,
T:0.5729166666666666,|0.3802083333333333,V:0.5520833333333334,|0.359375,
T:0.59375,|0.3333333333333333,V:0.484375,|0.46875,
T:0.5364583333333334,|0.4166666666666667,V:0.5208333333333334,|0.421875,
T:0.5052083333333334,|0.4322916666666667,V:0.4635416666666667,|0.4947916666666667,
T:0.6041666666666666,|0.3541666666666667,V:0.53125,|0.40625,
T:0.53125,|0.4010416666666667,V:0.5052083333333334,|0.4166666666666667,
T:0.59375,|0.3385416666666667,V:0.5416666666666666,|0.40625,
T:0.6302083333333334,|0.3385416666666667,V:0.5416666666666666,|0.4270833333333333,
T:0.5729166666666666,|0.3802083333333333,V:0.6302083333333334,|0.3072916666666667,
T:0.578125,|0.3489583333333333,V:0.609375,|0.3645833333333333,
T:0.59375,|0.3333333333333333,V:0.5,|0.453125,
T:0.5989583333333334,|0.3645833333333333,V:0.546875,|0.390625,
T:0.5520833333333334,|0.4166666666666667,V:0.4947916666666667,|0.4375,
T:0.5677083333333334,|0.359375,V:0.484375,|0.4635416666666667,
T:0.5572916666666666,|0.40625,V:0.5416666666666666,|0.3958333333333333,
T:0.578125,|0.3541666666666667,V:0.5572916666666666,|0.375,
T:0.6302083333333334,|0.3072916666666667,V:0.53125,|0.4114583333333333,
T:0.6041666666666666,|0.359375,V:0.484375,|0.4583333333333333,
T:0.5625,|0.4010416666666667,V:0.4895833333333333,|0.453125,
T:0.609375,|0.3229166666666667,V:0.5572916666666666,|0.3854166666666667,
T:0.5364583333333334,|0.4114583333333333,V:0.5520833333333334,|0.3802083333333333,
T:0.6145833333333334,|0.3229166666666667,V:0.4166666666666667,|0.515625,
T:0.5,|0.4166666666666667,V:0.53125,|0.3802083333333333,
T:0.640625,|0.3072916666666667,V:0.5520833333333334,|0.3854166666666667,
T:0.625,|0.328125,V:0.5520833333333334,|0.359375,
T:0.5260416666666666,|0.4114583333333333,V:0.4791666666666667,|0.484375,
T:0.6302083333333334,|0.3229166666666667,V:0.4947916666666667,|0.4114583333333333,
T:0.609375,|0.3333333333333333,V:0.5260416666666666,|0.3645833333333333,
T:0.6041666666666666,|0.3125,V:0.53125,|0.40625,
T:0.609375,|0.359375,V:0.5364583333333334,|0.40625,
T:0.5989583333333334,|0.3645833333333333,V:0.4635416666666667,|0.4479166666666667,
T:0.5572916666666666,|0.3854166666666667,V:0.5052083333333334,|0.4322916666666667,
T:0.5885416666666666,|0.3697916666666667,V:0.5677083333333334,|0.40625,
T:0.6145833333333334,|0.3333333333333333,V:0.546875,|0.3958333333333333,
T:0.6041666666666666,|0.3385416666666667,V:0.5677083333333334,|0.390625,
T:0.546875,|0.4010416666666667,V:0.5260416666666666,|0.4270833333333333,
T:0.609375,|0.3333333333333333,V:0.53125,|0.4114583333333333,
T:0.59375,|0.3854166666666667,V:0.53125,|0.375,
T:0.5885416666666666,|0.3645833333333333,V:0.4479166666666667,|0.46875,
T:0.5625,|0.40625,V:0.4583333333333333,|0.46875,
T:0.53125,|0.4166666666666667,V:0.4635416666666667,|0.4947916666666667,
T:0.484375,|0.453125,V:0.5104166666666666,|0.4375,
T:0.5885416666666666,|0.3802083333333333,V:0.4739583333333333,|0.453125,
T:0.59375,|0.3645833333333333,V:0.5885416666666666,|0.34375,
T:0.4947916666666667,|0.4427083333333333,V:0.4375,|0.5104166666666666,
T:0.578125,|0.3854166666666667,V:0.4895833333333333,|0.4375,
T:0.6197916666666666,|0.3125,V:0.53125,|0.4114583333333333,
T:0.6354166666666666,|0.28125,V:0.53125,|0.3958333333333333,
T:0.5989583333333334,|0.328125,V:0.484375,|0.421875,
T:0.5625,|0.4114583333333333,V:0.5052083333333334,|0.453125,
T:0.6458333333333334,|0.2916666666666667,V:0.5104166666666666,|0.421875,
T:0.546875,|0.4114583333333333,V:0.5625,|0.3333333333333333,
T:0.5572916666666666,|0.390625,V:0.5,|0.4114583333333333,
T:0.5885416666666666,|0.3333333333333333,V:0.546875,|0.4010416666666667,
T:0.59375,|0.3489583333333333,V:0.5104166666666666,|0.4166666666666667,
T:0.59375,|0.3489583333333333,V:0.546875,|0.40625,
T:0.5833333333333334,|0.3385416666666667,V:0.5625,|0.3854166666666667,
T:0.5625,|0.3645833333333333,V:0.5208333333333334,|0.4114583333333333,
T:0.5416666666666666,|0.4010416666666667,V:0.515625,|0.4114583333333333,
T:0.6145833333333334,|0.3333333333333333,V:0.53125,|0.4479166666666667,
T:0.609375,|0.3489583333333333,V:0.515625,|0.4427083333333333,
T:0.6302083333333334,|0.3177083333333333,V:0.484375,|0.453125,
T:0.6145833333333334,|0.34375,V:0.5625,|0.375,
T:0.6041666666666666,|0.3489583333333333,V:0.5104166666666666,|0.421875,
T:0.6197916666666666,|0.3177083333333333,V:0.4791666666666667,|0.4322916666666667,
T:0.5729166666666666,|0.3645833333333333,V:0.5,|0.4479166666666667,
T:0.5885416666666666,|0.3645833333333333,V:0.5260416666666666,|0.4114583333333333,
T:0.5677083333333334,|0.3645833333333333,V:0.484375,|0.4166666666666667,
T:0.5989583333333334,|0.3645833333333333,V:0.5104166666666666,|0.4166666666666667,
T:0.6510416666666666,|0.265625,V:0.5364583333333334,|0.4010416666666667,
T:0.609375,|0.3489583333333333,V:0.4791666666666667,|0.4583333333333333,
T:0.609375,|0.3489583333333333,V:0.4739583333333333,|0.4427083333333333,
T:0.5260416666666666,|0.40625,V:0.5729166666666666,|0.3697916666666667,
T:0.5885416666666666,|0.375,V:0.453125,|0.4791666666666667,
T:0.640625,|0.2916666666666667,V:0.5260416666666666,|0.3854166666666667,
T:0.6197916666666666,|0.328125,V:0.4895833333333333,|0.4739583333333333,
T:0.5625,|0.3854166666666667,V:0.5520833333333334,|0.390625,
T:0.6041666666666666,|0.328125,V:0.4947916666666667,|0.4479166666666667,
T:0.5885416666666666,|0.3541666666666667,V:0.5052083333333334,|0.4270833333333333,
T:0.5885416666666666,|0.3541666666666667,V:0.59375,|0.359375,
T:0.5364583333333334,|0.4270833333333333,V:0.4739583333333333,|0.453125,
T:0.5729166666666666,|0.3854166666666667,V:0.5104166666666666,|0.4166666666666667,
T:0.546875,|0.390625,V:0.515625,|0.3802083333333333,
T:0.5833333333333334,|0.3541666666666667,V:0.5416666666666666,|0.3802083333333333,
T:0.609375,|0.34375,V:0.4895833333333333,|0.4583333333333333,
T:0.5520833333333334,|0.3958333333333333,V:0.5260416666666666,|0.4322916666666667,
T:0.578125,|0.3385416666666667,V:0.4895833333333333,|0.4479166666666667,
T:0.5833333333333334,|0.3697916666666667,V:0.5364583333333334,|0.3697916666666667,
T:0.6041666666666666,|0.3541666666666667,V:0.5,|0.40625,
T:0.6041666666666666,|0.3489583333333333,V:0.5260416666666666,|0.4322916666666667,
T:0.5885416666666666,|0.3385416666666667,V:0.5520833333333334,|0.4010416666666667,
T:0.578125,|0.390625,V:0.5364583333333334,|0.3854166666666667,
T:0.578125,|0.3697916666666667,V:0.5572916666666666,|0.390625,
T:0.625,|0.3177083333333333,V:0.5,|0.4166666666666667,
T:0.5625,|0.390625,V:0.5104166666666666,|0.453125,
T:0.5833333333333334,|0.3645833333333333,V:0.53125,|0.390625,
T:0.5364583333333334,|0.375,V:0.4583333333333333,|0.4791666666666667,
T:0.5833333333333334,|0.3385416666666667,V:0.5,|0.4427083333333333,
T:0.609375,|0.3489583333333333,V:0.4635416666666667,|0.4895833333333333,
T:0.609375,|0.34375,V:0.546875,|0.4010416666666667,
T:0.5625,|0.375,V:0.53125,|0.40625,
T:0.609375,|0.3333333333333333,V:0.5208333333333334,|0.4166666666666667,
T:0.546875,|0.4166666666666667,V:0.46875,|0.46875,
T:0.5104166666666666,|0.4479166666666667,V:0.4895833333333333,|0.4375,
T:0.6614583333333334,|0.3177083333333333,V:0.5677083333333334,|0.3645833333333333,
T:0.6302083333333334,|0.34375,V:0.4791666666666667,|0.4375,
T:0.5364583333333334,|0.4114583333333333,V:0.5520833333333334,|0.375,
T:0.5729166666666666,|0.3802083333333333,V:0.5416666666666666,|0.3958333333333333,
T:0.609375,|0.3177083333333333,V:0.5,|0.4479166666666667,
T:0.5625,|0.390625,V:0.5208333333333334,|0.4322916666666667,
T:0.59375,|0.34375,V:0.53125,|0.3958333333333333,
T:0.5729166666666666,|0.34375,V:0.5208333333333334,|0.4166666666666667,
T:0.625,|0.328125,V:0.515625,|0.4270833333333333,
T:0.5572916666666666,|0.3697916666666667,V:0.578125,|0.3645833333333333,
T:0.5885416666666666,|0.3541666666666667,V:0.453125,|0.453125,
T:0.6354166666666666,|0.34375,V:0.5,|0.4375,
T:0.515625,|0.375,V:0.5416666666666666,|0.4114583333333333,
T:0.5208333333333334,|0.421875,V:0.5260416666666666,|0.421875,
T:0.6197916666666666,|0.3385416666666667,V:0.5260416666666666,|0.3854166666666667,
T:0.609375,|0.328125,V:0.4947916666666667,|0.4375,
T:0.5364583333333334,|0.390625,V:0.5572916666666666,|0.4114583333333333,
T:0.6354166666666666,|0.3229166666666667,V:0.5,|0.4635416666666667,
T:0.53125,|0.390625,V:0.4947916666666667,|0.4427083333333333,
T:0.640625,|0.3125,V:0.484375,|0.4739583333333333,
T:0.5520833333333334,|0.3802083333333333,V:0.53125,|0.4270833333333333,
T:0.53125,|0.4166666666666667,V:0.4947916666666667,|0.4322916666666667,
T:0.5416666666666666,|0.40625,V:0.4895833333333333,|0.4739583333333333,
T:0.6145833333333334,|0.3125,V:0.5416666666666666,|0.4375,
T:0.5885416666666666,|0.3385416666666667,V:0.4739583333333333,|0.4479166666666667,
T:0.6041666666666666,|0.3489583333333333,V:0.5677083333333334,|0.3645833333333333,
T:0.5833333333333334,|0.34375,V:0.5520833333333334,|0.3645833333333333,
T:0.5885416666666666,|0.3802083333333333,V:0.46875,|0.4583333333333333,
T:0.6145833333333334,|0.3489583333333333,V:0.5364583333333334,|0.4270833333333333,
T:0.5208333333333334,|0.4166666666666667,V:0.5364583333333334,|0.40625,
T:0.6041666666666666,|0.3333333333333333,V:0.4947916666666667,|0.3958333333333333,
T:0.5520833333333334,|0.375,V:0.5104166666666666,|0.4270833333333333,
T:0.5885416666666666,|0.3854166666666667,V:0.546875,|0.3854166666666667,
T:0.5989583333333334,|0.34375,V:0.59375,|0.3645833333333333,
T:0.6510416666666666,|0.3125,V:0.5677083333333334,|0.3958333333333333,
